"endTime","artistName","trackName","msPlayed"
"2022-04-05 11:33","Keyblade","Final del Juego (Avengers Endgame Rap)",674
"2022-04-05 11:33","Zarcort","Five Nights at Freddy's (feat. Kronno)",1175
"2022-04-05 11:33","C-Kan","Aparece",892
"2022-04-05 11:36","Lorde","Royals",190185
"2022-04-05 11:40","MisterWives","oxygen",29657
"2022-04-06 19:39","Tessa Violet","Bored",183380
"2022-04-06 19:41","Tessa Violet","Words Ain't Enough",124415
"2022-04-06 19:45","I DONT KNOW HOW BUT THEY FOUND ME","New Invention [Feat. Tessa Violet]",191797
"2022-04-06 19:48","Tessa Violet","Bored",184401
"2022-04-06 19:51","Tessa Violet","Games",221051
"2022-04-06 19:55","Tessa Violet","Haze",226440
"2022-04-06 19:58","Tessa Violet","Feelin",184488
"2022-04-06 20:02","Tessa Violet","Games",221051
"2022-04-06 20:05","Tessa Violet","On My Own",176093
"2022-04-06 20:10","Tessa Violet","Crush - Le Youth Remix",306720
"2022-04-06 20:11","Tessa Violet","Crush - Le Youth Remix",11022
"2022-04-06 20:14","Tessa Violet","Not over You",193493
"2022-04-06 20:15","Tessa Violet","Prelude",63965
"2022-04-06 20:18","Tessa Violet","I Like (the idea of) You",168480
"2022-04-06 20:21","Tessa Violet","Interlude III",169723
"2022-04-06 20:24","Tessa Violet","Bad Ideas",179173
"2022-04-06 20:27","Tessa Violet","I Like (the idea of) You",168480
"2022-04-06 20:30","Tessa Violet","Bad Ideas - Lo Fi",196000
"2022-04-06 20:33","Tessa Violet","YES MOM",162360
"2022-04-06 20:37","Tessa Violet","Honest",252146
"2022-04-06 20:40","Tessa Violet","Dream",206493
"2022-04-06 20:44","Tessa Violet","Bad Ideas",12780
"2022-04-06 20:44","Tessa Violet","Wishful Drinking",195110
"2022-04-06 20:44","I DONT KNOW HOW BUT THEY FOUND ME","New Invention",3250
"2022-04-06 20:44","I DONT KNOW HOW BUT THEY FOUND ME","New Invention",10693
"2022-04-06 20:48","lovelytheband","buzz cut (feat. MisterWives)",218775
"2022-04-06 20:49","C-Kan","Mujer Bonita",1080
"2022-04-06 20:49","Porta","Nota De Suicidio (Con Soma)",800
"2022-04-06 20:49","MisterWives","Queens",900
"2022-04-06 20:49","Santaflow","La Locura Está en Mí - Streaming Remaster",98124
"2022-04-06 20:49","Lorde","Royals",1230
"2022-04-06 20:49","Santa RM","No Sé en Qué Te Fallé",1070
"2022-04-06 20:49","MisterWives","stories",1480
"2022-04-06 20:53","Luna Snow","I Really Wanna",210861
"2022-04-06 20:56","Porta","No Hay Truco",187688
"2022-04-07 18:11","Zarcort","Call of Duty: Black Ops 3 Rap",302016
"2022-04-07 18:15","Tessa Violet","Crush",216266
"2022-04-07 18:19","Porta","Tela de Araña",243916
"2022-04-07 18:22","Tessa Violet","Feelin",184488
"2022-04-07 18:26","MisterWives","Kings And Queens",212973
"2022-04-07 18:29","Luna Snow","Tonight - From ""Marvel Future Fight""/Future Fight Firsts Remix",184320
"2022-04-07 18:33","MisterWives","Our Own House",232186
"2022-04-07 18:48","MisterWives","valentine's day",900
"2022-04-07 18:48","Porta","Días Grises",118551
"2022-04-07 18:51","Keyblade","Final del Juego (Avengers Endgame Rap)",209878
"2022-04-07 18:54","MisterWives","muse",172080
"2022-04-07 18:57","Tessa Violet","YES MOM",162360
"2022-04-07 19:00","Porta","Sin Ti",810
"2022-04-07 19:00","Porta","Mal Acostumbrados",820
"2022-04-07 19:00","MisterWives","whywhywhy",870
"2022-04-07 19:00","Santaflow","Segundos Fuera (feat. Encyser, Kurricé, Porta & Norykko)",191031
"2022-04-07 19:03","Porta","Cree en Ti",185362
"2022-04-07 19:07","MisterWives","the end",194893
"2022-04-07 19:10","Tessa Violet","Games",221051
"2022-04-07 19:13","C-Kan","Dejame en Paz",191250
"2022-04-07 19:18","MisterWives","Riptide",253200
"2022-04-07 19:21","MisterWives","it's my turn",194373
"2022-04-07 19:25","Porta","Imagina",237573
"2022-04-07 19:28","Tessa Violet","I Like (the idea of) You",168480
"2022-04-07 19:32","C-Kan","Vivo La Vida Cantando",230010
"2022-04-07 19:36","Santaflow","Sin Miedo a Caer",256194
"2022-04-07 19:43","Porta","Cosas de la Vida",403349
"2022-04-07 19:46","Lorde","Royals",190185
"2022-04-07 19:49","MisterWives","Imagination Infatuation",213586
